CrimeDate,CrimeTime,Description,Weapon,District,Neighborhood,Total Incidents
9/15/17,7:13:00,BURGLARY,,SOUTHWESTERN,Edgewood,1
9/15/17,7:00:00,ROBBERY - RESIDENCE,FIREARM,WESTERN,Mondawmin,1
9/15/17,6:50:00,LARCENY,,NORTHERN,Hampden,1
9/15/17,5:33:00,LARCENY,,SOUTHWESTERN,Millhill,1
9/15/17,5:22:00,ROBBERY - COMMERCIAL,FIREARM,NORTHWESTERN,Reisterstown Station,1
9/15/17,5:20:00,BURGLARY,,WESTERN,Bridgeview/Greenlawn,1
9/15/17,3:16:00,LARCENY,,NORTHERN,Barclay,1
9/15/17,2:54:00,AGG. ASSAULT,FIREARM,SOUTHWESTERN,Violetville,1
9/15/17,2:26:00,LARCENY,,NORTHERN,Chinquapin Park,1
9/15/17,2:25:00,AUTO THEFT,,NORTHWESTERN,Glen,1
9/15/17,2:00:00,LARCENY FROM AUTO,,SOUTHEASTERN,Fells Point,1
9/15/17,1:45:00,COMMON ASSAULT,HANDS,SOUTHWESTERN,Beechfield,1
9/15/17,1:00:00,LARCENY,,NORTHWESTERN,Dorchester,1
9/15/17,1:00:00,COMMON ASSAULT,HANDS,WESTERN,Coppin Heights/Ash-Co-Eas,1
9/15/17,0:30:00,AGG. ASSAULT,OTHER,SOUTHEASTERN,Greektown,1
9/15/17,0:30:00,AGG. ASSAULT,OTHER,SOUTHEASTERN,Greektown,1
9/15/17,0:30:00,AGG. ASSAULT,OTHER,SOUTHEASTERN,Greektown,1
9/15/17,0:30:00,ROBBERY - STREET,OTHER,EASTERN,Johnston Square,1
9/15/17,0:22:00,LARCENY,,EASTERN,Madison-Eastend,1
9/15/17,0:20:00,AGG. ASSAULT,OTHER,CENTRAL,Upton,1
9/15/17,0:19:00,LARCENY FROM AUTO,,SOUTHEASTERN,Canton,1
9/15/17,0:01:00,BURGLARY,,SOUTHWESTERN,Millhill,1
9/15/17,0:00:00,LARCENY FROM AUTO,,CENTRAL,Inner Harbor,1
9/14/17,23:47:00,LARCENY,,CENTRAL,Downtown,1
9/14/17,23:30:00,LARCENY FROM AUTO,,SOUTHWESTERN,Walbrook,1
9/14/17,23:30:00,COMMON ASSAULT,HANDS,NORTHWESTERN,Woodmere,1
9/14/17,23:30:00,LARCENY,,SOUTHWESTERN,Shipley Hill,1
9/14/17,23:11:00,LARCENY,,SOUTHEASTERN,Fells Point,1
9/14/17,23:09:00,BURGLARY,,SOUTHEASTERN,Butcher's Hill,1
9/14/17,22:30:00,LARCENY FROM AUTO,,SOUTHERN,Carrollton Ridge,1
9/14/17,22:30:00,AGG. ASSAULT,KNIFE,NORTHEASTERN,Coldstream Homestead Mont,1
9/14/17,22:05:00,AUTO THEFT,,SOUTHERN,Locust Point Industrial A,1
9/14/17,22:00:00,BURGLARY,,WESTERN,Sandtown-Winchester,1
9/14/17,22:00:00,ARSON,,EASTERN,Biddle Street,1
9/14/17,21:30:00,LARCENY,,EASTERN,Gay Street,1
9/14/17,21:30:00,COMMON ASSAULT,HANDS,SOUTHEASTERN,Broening Manor,1
9/14/17,21:20:00,COMMON ASSAULT,HANDS,NORTHEASTERN,Clifton Park,1
9/14/17,21:06:00,BURGLARY,,SOUTHWESTERN,Allendale,1
9/14/17,21:00:00,BURGLARY,,EASTERN,East Baltimore Midway,1
9/14/17,21:00:00,COMMON ASSAULT,HANDS,WESTERN,Midtown-Edmondson,1
9/14/17,20:40:00,LARCENY FROM AUTO,,SOUTHEASTERN,Washington Hill,1
9/14/17,20:40:00,COMMON ASSAULT,HANDS,SOUTHERN,Cherry Hill,1
9/14/17,20:40:00,BURGLARY,,NORTHEASTERN,Perring Loch,1
9/14/17,20:25:00,BURGLARY,,NORTHWESTERN,Panway/Braddish Avenue,1
9/14/17,20:00:00,COMMON ASSAULT,HANDS,SOUTHERN,Cherry Hill,1
9/14/17,19:20:00,LARCENY,,SOUTHEASTERN,Pleasant View Gardens,1
9/14/17,19:20:00,LARCENY,,SOUTHEASTERN,Ellwood Park/Monument,1
9/14/17,19:15:00,LARCENY FROM AUTO,,NORTHERN,Homeland,1
9/14/17,19:15:00,LARCENY FROM AUTO,,NORTHEASTERN,New Northwood,1
9/14/17,19:00:00,AGG. ASSAULT,KNIFE,CENTRAL,Upton,1
9/14/17,18:47:00,LARCENY,,SOUTHWESTERN,Walbrook,1
9/14/17,18:45:00,BURGLARY,,NORTHWESTERN,Fallstaff,1
9/14/17,18:45:00,COMMON ASSAULT,HANDS,WESTERN,Franklin Square,1
9/14/17,18:40:00,BURGLARY,,NORTHEASTERN,Idlewood,1
9/14/17,18:30:00,COMMON ASSAULT,HANDS,NORTHEASTERN,Idlewood,1
9/14/17,18:25:00,LARCENY FROM AUTO,,CENTRAL,Downtown,1
9/14/17,18:00:00,BURGLARY,,SOUTHERN,Hollins Market,1
9/14/17,17:35:00,COMMON ASSAULT,HANDS,NORTHEASTERN,Frankford,1
9/14/17,17:00:00,LARCENY FROM AUTO,,SOUTHEASTERN,Fells Point,1
9/14/17,16:48:00,ROBBERY - RESIDENCE,,NORTHERN,Lake Walker,1
9/14/17,16:30:00,LARCENY,,NORTHEASTERN,Loch Raven,1
9/14/17,16:30:00,COMMON ASSAULT,HANDS,NORTHERN,Reservoir Hill,1
9/14/17,16:29:00,LARCENY,,CENTRAL,Druid Heights,1
9/14/17,16:00:00,BURGLARY,,NORTHERN,Harwood,1
9/14/17,16:00:00,BURGLARY,,NORTHERN,Harwood,1
9/14/17,16:00:00,BURGLARY,,NORTHERN,Harwood,1
9/14/17,15:55:00,BURGLARY,,NORTHERN,Harwood,1
9/14/17,15:52:00,AGG. ASSAULT,OTHER,NORTHERN,Charles Village,1
9/14/17,15:45:00,BURGLARY,,NORTHEASTERN,Waltherson,1
9/14/17,15:24:00,AUTO THEFT,,SOUTHEASTERN,Baltimore Highlands,1
9/14/17,15:15:00,LARCENY,,EASTERN,Berea,1
9/14/17,15:00:00,BURGLARY,,NORTHERN,Woodbourne-McCabe,1
9/14/17,14:51:00,BURGLARY,,SOUTHWESTERN,Wakefield,1
9/14/17,14:20:00,LARCENY,,CENTRAL,Mid-Town Belvedere,1
9/14/17,14:00:00,COMMON ASSAULT,HANDS,NORTHEASTERN,New Northwood,1
9/14/17,14:00:00,LARCENY FROM AUTO,,EASTERN,Middle East,1
9/14/17,14:00:00,BURGLARY,,SOUTHWESTERN,Allendale,1
9/14/17,13:31:00,LARCENY FROM AUTO,,EASTERN,Penn-Fallsway,1
9/14/17,13:05:00,ROBBERY - STREET,OTHER,EASTERN,Oliver,1
9/14/17,13:00:00,BURGLARY,,SOUTHERN,Brooklyn,1
9/14/17,13:00:00,AUTO THEFT,,SOUTHWESTERN,Walbrook,1
9/14/17,12:32:00,BURGLARY,,NORTHERN,Cylburn,1
9/14/17,12:30:00,BURGLARY,,SOUTHERN,Cherry Hill,1
9/14/17,11:35:00,ROBBERY - STREET,KNIFE,CENTRAL,Druid Heights,1
9/14/17,11:33:00,ROBBERY - STREET,KNIFE,CENTRAL,Druid Heights,1
9/14/17,11:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/14/17,11:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/14/17,11:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/14/17,10:40:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/14/17,10:35:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/14/17,10:00:00,COMMON ASSAULT,HANDS,CENTRAL,Madison Park,1
9/14/17,10:00:00,ROBBERY - RESIDENCE,FIREARM,SOUTHWESTERN,Violetville,1
9/14/17,9:22:00,ROBBERY - STREET,FIREARM,NORTHERN,Charles North,1
9/14/17,9:50:00,AUTO THEFT,,NORTHEASTERN,Frankford,1
9/14/17,9:20:00,LARCENY,,NORTHEASTERN,Cedmont,1
9/14/17,9:07:00,AGG. ASSAULT,OTHER,SOUTHERN,Cherry Hill,1
9/14/17,9:00:00,LARCENY FROM AUTO,,SOUTHWESTERN,Beechfield,1
9/14/17,8:54:00,BURGLARY,,SOUTHERN,Lakeland,1
9/14/17,8:46:00,AGG. ASSAULT,OTHER,NORTHEASTERN,Glenham-Belhar,1
9/14/17,8:00:00,LARCENY,,NORTHWESTERN,Callaway-Garrison,1
9/14/17,8:00:00,AUTO THEFT,,NORTHEASTERN,Hillen,1
9/14/17,7:30:00,AGG. ASSAULT,FIREARM,NORTHERN,Winston-Govans,1
9/14/17,7:30:00,LARCENY,,SOUTHEASTERN,Baltimore Highlands,1
9/14/17,7:30:00,LARCENY,,CENTRAL,University Of Maryland,1
9/14/17,7:00:00,LARCENY,,NORTHERN,Pen Lucy,1
9/14/17,6:50:00,AGG. ASSAULT,KNIFE,SOUTHWESTERN,Saint Josephs,1
9/14/17,6:30:00,COMMON ASSAULT,HANDS,SOUTHWESTERN,Rosemont,1
9/14/17,6:00:00,BURGLARY,,SOUTHEASTERN,Patterson Park Neighborho,1
9/14/17,2:30:00,LARCENY,,CENTRAL,,1
9/14/17,2:05:00,BURGLARY,,NORTHERN,Abell,1
9/14/17,2:05:00,AGG. ASSAULT,FIREARM,NORTHEASTERN,Frankford,1
9/14/17,2:00:00,COMMON ASSAULT,HANDS,WESTERN,Coppin Heights/Ash-Co-Eas,1
9/14/17,1:38:00,COMMON ASSAULT,HANDS,SOUTHEASTERN,Patterson Park Neighborho,1
9/14/17,1:05:00,LARCENY FROM AUTO,,NORTHEASTERN,Loch Raven,1
5/3/17,18:00:00,COMMON ASSAULT,HANDS,NORTHWESTERN,,1
9/14/17,1:00:00,COMMON ASSAULT,HANDS,SOUTHWESTERN,Rognel Heights,1
